"","Resample1"
"1",1
"2",9
"3",11
"4",30
"5",56
"6",59
"7",64
"8",66
"9",73
"10",89
"11",96
"12",108
"13",121
"14",125
"15",145
"16",153
"17",178
"18",202
"19",209
"20",235
"21",239
"22",240
"23",241
"24",242
"25",249
"26",250
"27",262
"28",279
"29",303
"30",314
"31",316
"32",343
"33",344
"34",358
"35",368
"36",375
"37",393
"38",395
"39",400
"40",403
"41",411
"42",417
"43",423
"44",445
"45",448
"46",454
"47",459
"48",468
"49",473
"50",480
"51",483
"52",486
"53",489
"54",496
"55",497
"56",502
"57",510
"58",512
"59",515
"60",554
"61",560
"62",601
"63",613
"64",614
"65",617
"66",620
"67",643
"68",652
"69",663
"70",668
"71",671
"72",672
"73",691
"74",692
"75",726
"76",732
"77",751
"78",770
"79",776
"80",783
"81",794
"82",801
"83",802
"84",807
"85",815
"86",830
"87",831
"88",835
"89",849
"90",853
"91",858
"92",877
"93",924
"94",932
"95",934
"96",956
"97",957
"98",958
"99",972
"100",980
"101",988
"102",1001
"103",1003
"104",1023
"105",1026
"106",1040
"107",1058
"108",1069
"109",1088
"110",1099
"111",1120
"112",1138
"113",1150
"114",1165
"115",1169
"116",1191
"117",1201
"118",1228
"119",1229
"120",1241
"121",1257
"122",1258
"123",1273
"124",1281
"125",1291
"126",1301
"127",1304
"128",1335
"129",1338
"130",1374
"131",1381
"132",1399
"133",1405
"134",1408
"135",1413
"136",1421
"137",1435
"138",1452
"139",1457
"140",1477
"141",1489
"142",1510
"143",1522
"144",1532
"145",1539
"146",1540
"147",1543
"148",1552
"149",1564
"150",1588
"151",1600
"152",1603
"153",1605
"154",1612
"155",1648
"156",1656
"157",1658
"158",1660
"159",1666
"160",1679
"161",1684
"162",1696
"163",1716
"164",1718
"165",1748
"166",1757
"167",1768
"168",1776
"169",1780
"170",1817
"171",1831
"172",1844
"173",1864
"174",1869
"175",1874
"176",1888
"177",1889
"178",1899
"179",1904
"180",1913
"181",1917
"182",1929
"183",1930
"184",1987
"185",1990
"186",2000
"187",2022
"188",2030
"189",2034
"190",2061
"191",2068
"192",2079
"193",2080
"194",2084
"195",2090
"196",2103
"197",2123
"198",2140
"199",2157
"200",2160
"201",2163
"202",2172
"203",2182
"204",2193
"205",2203
"206",2210
"207",2212
"208",2213
"209",2218
"210",2252
"211",2254
"212",2265
"213",2266
"214",2268
"215",2279
"216",2290
"217",2293
"218",2305
"219",2323
"220",2332
"221",2335
"222",2339
"223",2368
"224",2370
"225",2371
"226",2376
"227",2421
"228",2425
"229",2426
"230",2427
"231",2431
"232",2442
"233",2453
"234",2460
"235",2468
"236",2486
"237",2488
"238",2491
"239",2492
"240",2494
"241",2502
"242",2505
"243",2512
"244",2525
"245",2528
"246",2542
"247",2547
"248",2558
"249",2563
"250",2575
"251",2580
"252",2612
"253",2618
"254",2623
"255",2644
"256",2651
"257",2673
"258",2692
