Year,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
2011,10,5,3,1200,1250,WN,24,N336SW,50,40,-10,0,HOU,DAL,239,4,6,0,NA,0
2011,8,26,5,1914,2234,CO,1662,N38403,140,120,1,-1,IAH,RSW,861,6,14,0,NA,0
2011,7,21,4,903,950,CO,1583,N24729,47,31,-19,-7,IAH,AUS,140,7,9,0,NA,0
2011,11,8,2,1957,2100,AA,657,N480AA,63,40,5,17,IAH,DFW,224,4,19,0,NA,0
2011,7,22,5,1053,1438,WN,376,N273WN,165,153,13,-2,HOU,FLL,957,3,9,0,NA,0
2011,10,11,2,1535,1852,XE,4283,N14907,137,107,6,5,IAH,IND,844,5,25,0,NA,0
2011,6,7,2,1338,1658,XE,2715,N10156,140,117,11,3,IAH,CAE,878,4,19,0,NA,0
2011,3,29,2,1522,1622,XE,2625,N14943,60,47,-5,-2,IAH,HRL,295,4,9,0,NA,0
2011,4,10,7,912,1033,XE,2176,N18120,141,115,21,2,IAH,ABQ,744,5,21,0,NA,0
2011,10,4,2,859,1019,WN,217,N901WN,200,187,4,19,HOU,LAX,1390,6,7,0,NA,0
2011,4,19,2,1920,2047,CO,297,N75854,207,167,32,25,IAH,LAS,1222,10,30,0,NA,0
2011,10,11,2,1322,1634,CO,1148,N57868,132,108,-16,-8,IAH,MCO,854,8,16,0,NA,0
2011,7,6,3,2005,2105,AA,426,N4XKAA,60,43,-20,0,IAH,DFW,224,8,9,0,NA,0
2011,4,26,2,2348,52,XE,2803,N14947,64,48,177,163,IAH,SHV,192,4,12,0,NA,0
2011,6,15,3,1918,217,CO,755,N23721,NA,NA,NA,28,IAH,ATL,689,35,55,0,NA,1
2011,6,1,3,1608,2044,CO,210,N19136,216,193,6,18,IAH,EWR,1400,9,14,0,NA,0
2011,6,4,6,1757,1949,CO,1889,N73291,232,206,2,12,IAH,SMF,1609,3,23,0,NA,0
2011,3,11,5,736,1122,WN,3386,N299WN,166,154,2,11,HOU,BWI,1246,4,8,0,NA,0
2011,10,25,2,1848,2125,CO,1282,N76504,277,257,-11,-7,IAH,SEA,1874,5,15,0,NA,0
2011,12,27,2,1339,1433,WN,213,N434WN,54,43,-7,-1,HOU,MSY,302,4,7,0,NA,0
2011,11,15,2,1315,1514,WN,1098,N796SW,179,162,4,0,HOU,PHX,1020,6,11,0,NA,0
2011,8,5,5,2116,2226,CO,1486,N38257,190,165,-5,1,IAH,SAN,1303,4,21,0,NA,0
2011,5,11,3,NA,NA,AA,1566,N561AA,NA,NA,NA,NA,IAH,DFW,224,NA,NA,1,B,0
2011,10,9,7,1742,2047,XE,4190,N13955,125,110,67,67,IAH,JAX,817,4,11,0,NA,0
2011,8,24,3,1532,1632,WN,2210,N290WN,60,51,7,7,HOU,MSY,302,3,6,0,NA,0
2011,11,28,1,1014,1125,MQ,2958,N803MQ,71,48,0,-1,HOU,DFW,247,9,14,0,NA,0
2011,9,8,4,1229,1320,WN,1673,N433LV,51,33,5,-1,HOU,AUS,148,4,14,0,NA,0
2011,5,22,7,1128,1246,WN,2189,N446WN,138,125,91,98,HOU,DEN,883,5,8,0,NA,0
2011,1,27,4,1031,1143,XE,2482,N13935,72,50,-6,-4,IAH,GPT,376,4,18,0,NA,0
2011,4,29,5,756,908,XE,2469,N14933,72,41,11,-4,IAH,CRP,201,6,25,0,NA,0
2011,10,17,1,1307,1719,US,1824,N950UW,192,166,-11,-7,IAH,PHL,1325,3,23,0,NA,0
2011,12,28,3,2039,2348,XE,4573,N13997,129,116,-2,4,IAH,SDF,788,6,7,0,NA,0
